,Comune,Provincia,Regione,Nome,Anno inserimento
451,AFFI,VERONA,Veneto,"Future site of """"Museum Of The War That Never Ha",2014
452,BARDOLINO,VERONA,Veneto,Museo del Vino,2011
453,BARDOLINO,VERONA,Veneto,Museo Sisan,2010
456,COLOGNA VENETA,VERONA,Veneto,Museo civico archeologico di Cologna Veneta La f,2015
458,GARDA,VERONA,Veneto,Museo del Garda,2015
459,LAZISE,VERONA,Veneto,Art Galery,2012
460,LEGNAGO,VERONA,Veneto,Centro Ambientale Archeologico,2014
461,LEGNAGO,VERONA,Veneto,Museo Fondazione Fioron,2014
462,MALCESINE,VERONA,Veneto,Museo del Lago,2010
463,MALCESINE,VERONA,Veneto,Museo storia naturale,2014
464,MALCESINE,VERONA,Veneto,Sala delle Galee,2014
465,MALCESINE,VERONA,Veneto,Sala Gofethe,2014
466,PESCHIERA DEL GARDA,VERONA,Veneto,Museo della Pesca,2010
467,RIVOLI VERONESE,VERONA,Veneto,Napoleonic Monument,2015
468,RONCA',VERONA,Veneto,Museo Paleontologico Roncà,2012
469,SAN BONIFACIO,VERONA,Veneto,museo civico geopaleontologico,2015
470,SAN BONIFACIO,VERONA,Veneto,museo delle guerre mondiali,2015
471,VELO VERONESE,VERONA,Veneto,Museo Geopantologico di Camposilvano,2013
472,VERONA,VERONA,Veneto,Centro Internazionale di fotografia Scavi Scalig,2014
473,VERONA,VERONA,Veneto,GAM,2014
474,VERONA,VERONA,Veneto,Museo africano,2016
475,VERONA,VERONA,Veneto,Museo di Castelvecchio,2014
476,VERONA,VERONA,Veneto,Museo di Storia Naturale,2015
477,VERONA,VERONA,Veneto,Museo e pinacoteca Canonicale,2014
478,VERONA,VERONA,Veneto,Museo lapidario Maffeiano,2015
479,VESTENANOVA,VERONA,Veneto,Museo dei Fossili di Bolca,2014
480,VESTENANOVA,VERONA,Veneto,Pesciara di Bolca,2009
481,ASIAGO,VICENZA,Veneto,Museo dell'acqua,2013
482,ASIAGO,VICENZA,Veneto,Museo della Grande Guerra 15 - 18 di Sasso,2010
483,BASSANO DEL GRAPPA,VICENZA,Veneto,Museo Civico,2011
484,BASSANO DEL GRAPPA,VICENZA,Veneto,Museo Degli Alpini,2015
485,BASSANO DEL GRAPPA,VICENZA,Veneto,Museo della Ceramica,2012
486,BASSANO DEL GRAPPA,VICENZA,Veneto,Museo della Grappa Poli,2015
487,BASSANO DEL GRAPPA,VICENZA,Veneto,Museo Remondini,2012
488,BASSANO DEL GRAPPA,VICENZA,Veneto,Palazzo Bonaguro Naturalistico,2013
489,BASSANO DEL GRAPPA,VICENZA,Veneto,Urban Center,2012
490,CHIUPPANO,VICENZA,Veneto,Museo della Grande Guerra,2015
492,LUGO DI VICENZA,VICENZA,Veneto,Museo dei Fossili di Lonedo,2014
493,MALO,VICENZA,Veneto,Casa Bianca,2014
494,MALO,VICENZA,Veneto,Della serica e della laterizia,2014
495,MONTECCHIO MAGGIORE,VICENZA,Veneto,Galleria Civica,2014
496,MONTECCHIO MAGGIORE,VICENZA,Veneto,Garage Storico Magazzini Comunali,2015
