,PARCHEGGIO,PROVINCIA,DENOMINAZIONE,SITO WEB,ACCESSO AI DISABILI,TELEFONO,COMUNE,INDIRIZZO,EMAIL,LAGO,FITNESS,SAUNA,ARIA CONDIZIONATA,ANIMALI AMMESSI,PISCINA,PISCINA COPERTA
0,Falso,VERONA,5 CINQUE,www.cinquerooms.it,Vero,045597004 - 3666932750,VERONA,Piazzetta Portichetti,contact@cinquerooms.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
1,Falso,VERONA,5 ELEMENTI,www.7vizi.eu,Falso,340 3789271,LAZISE,"Via Croce,",info@7vizi.eu,Vero,Falso,Falso,Vero,Falso,Falso,Falso
2,Falso,VERONA,ABBRACCIO DI GIULIETTA & ROMEO,,Falso,,VERONA,STRADONE PORTA PALIO,anton-94@hotmail.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
3,Vero,VERONA,ACCOMODATION BY DUOMO VERONA,bbbyduomo.splinder.com,Vero,348-5180496,VERONA,VIA CADREGA,bbfraccaroli@gmail.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
4,Vero,VERONA,ACCOMODATION VERONA,wwwadcentrumveronabedandbreakfast.com,Vero,348/5180496 - 045/800042,VERONA,Stradone Scipione Maffei,bbfraccaroli@gmail.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
5,Vero,VERONA,AFFITTACAMERE ALESSIO,www.alessiocamere.it,Falso,0457210698,BARDOLINO,Via Vasco de Gama,alessiocamere@alessiocamere.it,Vero,Falso,Falso,Vero,Vero,Falso,Falso
6,Falso,VERONA,AFFITTACAMERE A.M.,,Falso,0458921869,VERONA,VIA UNITA' D'ITALIA,veronicamimmo@libero.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
7,Vero,VERONA,AFFITTACAMERE BABY,www.villaterri.it,Falso,045509744,VERONA,Via delle Menegone,info@villaterri.it,Falso,Falso,Falso,Falso,Falso,Falso,Falso
8,Vero,VERONA,AFFITTACAMERE BARBARA,www.villaterri.it,Vero,045509744,VERONA,Via Delle Menegone,info@villaterri.it,Falso,Falso,Falso,Vero,Vero,Falso,Falso
9,Vero,VERONA,AFFITTACAMERE BARDOLINO,,Falso,0456267052 - 3497703571,BARDOLINO,"VIA MONTEBALDO,",bebbardolino@yahoo.it,Vero,Falso,Falso,Vero,Vero,Falso,Falso
10,Vero,VERONA,AFFITTACAMERE BIKAPI',www.bikapì.com,Falso,045 7256911 - 3474436981,GARDA,"VIA DEGLI ALPINI,",info@bikapì.com,Vero,Falso,Falso,Vero,Vero,Falso,Falso
11,Falso,VERONA,AFFITTACAMERE BORGO ROMA,,Vero,0458200527,VERONA,Via Scuderlando,info@affittacamereborgoroma.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
12,Vero,VERONA,AFFITTACAMERE BORGO TRENTO,,Vero,045 8350557,VERONA,Via Pindemonte,gennarocerasuolo@libero.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
13,Vero,VERONA,AFFITTACAMERE CIRIONI GIANNI,www.villaterri.it,Falso,045509744,VERONA,Via delle Menegone,info@villaterri.it,Falso,Falso,Falso,Vero,Falso,Falso,Falso
14,Vero,VERONA,AFFITTACAMERE CONSOLINI,www.locandasperanza.com,Falso,045 6296429,TORRI DEL BENACO,"Località Sant'Antonio,",info@locandasperanza.com,Vero,Falso,Falso,Falso,Vero,Falso,Falso
15,Falso,VERONA,AFFITTACAMERE DI MAZZURANA CLAUDIO,www.dananni.com,Falso,0456200321- 0457200080,COSTERMANO SUL GARDA,Loc. Gazzoli,info@dananni.com,Falso,Falso,Falso,Vero,Falso,Falso,Falso
16,Falso,VERONA,AFFITTA CAMERE ESPOSITO,,Falso,0458340012,VERONA,Via Mameli,mariagrazia251065@gmail.com,Falso,Falso,Falso,Vero,Vero,Falso,Falso
